,id,prod,cat,video_id,aspect,negative,neutral,positive
0,29,VR,Apple,SaneSRqePVY,performance,0.010803599,0.101902,0.8872944
0,29,VR,Apple,SaneSRqePVY,experience,0.010079988,0.09737213,0.8925479
0,29,VR,Apple,SaneSRqePVY,gaming,0.011300674,0.13358876,0.8551105
0,29,VR,Apple,SaneSRqePVY,mixed reality,0.011199999,0.11016621,0.87863374
0,29,VR,Apple,SaneSRqePVY,Gyroscope,0.01111464,0.11152528,0.87736005
0,29,VR,Apple,SaneSRqePVY,audio,0.011154534,0.10669188,0.8821536
0,29,VR,Apple,SaneSRqePVY,visual,0.010822365,0.10974122,0.87943643
0,29,VR,Apple,SaneSRqePVY,technology,0.0110387495,0.10776045,0.88120085
0,29,VR,Apple,SaneSRqePVY,specification,0.011270932,0.11076382,0.8779653
0,30,VR,Apple,tciqW8VKfOU,performance,0.027210683,0.9121603,0.060629055
0,30,VR,Apple,tciqW8VKfOU,experience,0.020775408,0.9490253,0.03019931
0,30,VR,Apple,tciqW8VKfOU,gaming,0.032179706,0.94669646,0.02112384
0,30,VR,Apple,tciqW8VKfOU,mixed reality,0.05595192,0.91259223,0.03145585
0,30,VR,Apple,tciqW8VKfOU,Gyroscope,0.026912652,0.94126225,0.03182514
0,30,VR,Apple,tciqW8VKfOU,audio,0.028775182,0.9356267,0.03559817
0,30,VR,Apple,tciqW8VKfOU,visual,0.010625193,0.967554,0.021820841
0,30,VR,Apple,tciqW8VKfOU,technology,0.02229978,0.9358408,0.041859414
0,30,VR,Apple,tciqW8VKfOU,specification,0.027630413,0.9301994,0.04217023
0,31,VR,Apple,tciqW8VKfOU,performance,0.055562608,0.69716716,0.24727026
0,31,VR,Apple,tciqW8VKfOU,experience,0.022892017,0.93559,0.04151799
0,31,VR,Apple,tciqW8VKfOU,gaming,0.07276526,0.8935833,0.033651393
0,31,VR,Apple,tciqW8VKfOU,mixed reality,0.116902,0.85024333,0.03285459
0,31,VR,Apple,tciqW8VKfOU,Gyroscope,0.09317797,0.8179952,0.088826776
0,31,VR,Apple,tciqW8VKfOU,audio,0.032135446,0.9406627,0.027201861
0,31,VR,Apple,tciqW8VKfOU,visual,0.07684593,0.8551834,0.067970656
0,31,VR,Apple,tciqW8VKfOU,technology,0.032335248,0.90485746,0.06280731
0,31,VR,Apple,tciqW8VKfOU,specification,0.057640936,0.877314,0.06504501
0,32,VR,Apple,tciqW8VKfOU,performance,0.045248378,0.82120335,0.13354824
0,32,VR,Apple,tciqW8VKfOU,experience,0.028814139,0.76992804,0.20125775
0,32,VR,Apple,tciqW8VKfOU,gaming,0.016542811,0.940487,0.042970233
0,32,VR,Apple,tciqW8VKfOU,mixed reality,0.04087571,0.81471306,0.14441128
0,32,VR,Apple,tciqW8VKfOU,Gyroscope,0.034893163,0.74834585,0.21676107
0,32,VR,Apple,tciqW8VKfOU,audio,0.035956793,0.79456794,0.16947529
0,32,VR,Apple,tciqW8VKfOU,visual,0.049674153,0.78039515,0.16993076
0,32,VR,Apple,tciqW8VKfOU,technology,0.02853083,0.8370303,0.13443886
0,32,VR,Apple,tciqW8VKfOU,specification,0.03983557,0.7788557,0.18130882
0,33,VR,Apple,tciqW8VKfOU,performance,0.876722,0.11729347,0.0059845573
0,33,VR,Apple,tciqW8VKfOU,experience,0.7485632,0.23713279,0.014304045
0,33,VR,Apple,tciqW8VKfOU,gaming,0.5819428,0.41177222,0.00628494
0,33,VR,Apple,tciqW8VKfOU,mixed reality,0.7774266,0.21426514,0.008308251
0,33,VR,Apple,tciqW8VKfOU,Gyroscope,0.8028205,0.18793143,0.009247998
0,33,VR,Apple,tciqW8VKfOU,audio,0.8493416,0.14535806,0.0053003086
0,33,VR,Apple,tciqW8VKfOU,visual,0.8987904,0.09627447,0.0049350145
0,33,VR,Apple,tciqW8VKfOU,technology,0.818743,0.17235558,0.008901434
0,33,VR,Apple,tciqW8VKfOU,specification,0.8954949,0.09966078,0.004844336
0,34,VR,Apple,tciqW8VKfOU,performance,0.52493256,0.45352143,0.021545978
0,34,VR,Apple,tciqW8VKfOU,experience,0.5271346,0.45111427,0.021751152
0,34,VR,Apple,tciqW8VKfOU,gaming,0.5140858,0.4665258,0.019388389
